i	j	k	t	i2	j2	k2	t2	coeff
1	4	1	1	3	4	1	16	1000
1	4	1	1	3	4	1	17	1000
1	4	1	1	3	4	1	18	1000
1	4	1	1	3	4	1	19	1000
1	4	1	1	1	4	1	1	8
1	4	1	1	1	4	1	0	1000
1	4	1	1	1	4	1	3	3000
1	4	1	1	1	4	1	2	3000
1	4	1	1	1	4	1	5	3000
1	4	1	1	1	4	1	4	3000
1	4	1	1	1	4	1	7	3000
1	4	1	1	1	4	1	6	3000
1	4	1	1	1	4	1	9	3000
1	4	1	1	1	4	1	8	3000
1	4	1	1	1	4	1	11	3000
1	4	1	1	1	4	1	10	3000
1	4	1	1	1	4	1	13	3000
1	4	1	1	1	4	1	12	3000
1	4	1	1	1	4	1	15	3000
1	4	1	1	1	4	1	14	3000
1	4	1	1	1	4	1	17	3000
1	4	1	1	1	4	2	1	-2000
1	4	1	1	1	4	1	16	3000
1	4	1	1	1	4	2	0	-2000
1	4	1	1	1	4	1	19	3000
1	4	1	1	1	4	2	3	-2000
1	4	1	1	1	4	1	18	3000
1	4	1	1	1	4	2	2	-2000
1	4	1	1	1	4	2	5	-2000
1	4	1	1	1	4	2	4	-2000
1	4	1	1	1	4	2	7	-2000
1	4	1	1	1	4	2	6	-2000
1	4	1	1	1	4	2	9	-2000
1	4	1	1	1	4	2	8	-2000
1	4	1	1	1	4	2	11	-2000
1	4	1	1	1	4	2	10	-2000
1	4	1	1	1	4	2	13	-2000
1	4	1	1	1	4	2	12	-2000
1	4	1	1	1	4	2	15	-2000
1	4	1	1	1	4	2	14	-2000
1	4	1	1	2	4	1	3	1000
1	4	1	1	1	4	2	17	-2000
1	4	1	1	2	4	1	2	1000
1	4	1	1	1	4	2	16	-2000
1	4	1	1	2	4	1	1	1000
1	4	1	1	1	4	2	19	-2000
1	4	1	1	2	4	1	0	1000
1	4	1	1	1	4	2	18	-2000
1	4	1	1	2	4	1	7	1000
1	4	1	1	2	4	1	6	1000
1	4	1	1	2	4	1	5	1000
1	4	1	1	2	4	1	4	1000
1	4	1	1	2	4	1	11	1000
1	4	1	1	2	4	1	10	1000
1	4	1	1	2	4	1	9	1000
1	4	1	1	2	4	1	8	1000
1	4	1	1	2	4	1	15	1000
1	4	1	1	2	4	1	14	1000
1	4	1	1	2	4	1	13	1000
1	4	1	1	2	4	1	12	1000
1	4	1	1	2	4	1	19	1000
1	4	1	1	2	4	1	18	1000
1	4	1	1	2	4	1	17	1000
1	4	1	1	2	4	1	16	1000
1	4	1	1	3	4	1	4	1000
1	4	1	1	3	4	1	5	1000
1	4	1	1	3	4	1	6	1000
1	4	1	1	3	4	1	7	1000
1	4	1	1	3	4	1	0	1000
1	4	1	1	3	4	1	1	1000
1	4	1	1	3	4	1	2	1000
1	4	1	1	3	4	1	3	1000
1	4	1	1	3	4	1	12	1000
1	4	1	1	3	4	1	13	1000
1	4	1	1	3	4	1	14	1000
1	4	1	1	3	4	1	15	1000
1	4	1	1	3	4	1	8	1000
1	4	1	1	3	4	1	9	1000
1	4	1	1	3	4	1	10	1000
1	4	1	1	3	4	1	11	1000
1	4	1	0	3	4	1	16	1000
1	4	1	0	3	4	1	17	1000
1	4	1	0	3	4	1	18	1000
1	4	1	0	3	4	1	19	1000
1	4	1	0	1	4	1	1	3000
1	4	1	0	1	4	1	0	-991
1	4	1	0	1	4	1	3	3000
1	4	1	0	1	4	1	2	3000
1	4	1	0	1	4	1	5	3000
1	4	1	0	1	4	1	4	3000
1	4	1	0	1	4	1	7	3000
1	4	1	0	1	4	1	6	3000
1	4	1	0	1	4	1	9	3000
1	4	1	0	1	4	1	8	3000
1	4	1	0	1	4	1	11	3000
1	4	1	0	1	4	1	10	3000
1	4	1	0	1	4	1	13	3000
1	4	1	0	1	4	1	12	3000
1	4	1	0	1	4	1	15	3000
1	4	1	0	1	4	1	14	3000
1	4	1	0	1	4	1	17	3000
1	4	1	0	1	4	2	1	-2000
1	4	1	0	1	4	1	16	3000
1	4	1	0	1	4	2	0	-2000
1	4	1	0	1	4	1	19	3000
1	4	1	0	1	4	2	3	-2000
1	4	1	0	1	4	1	18	3000
1	4	1	0	1	4	2	2	-2000
1	4	1	0	1	4	2	5	-2000
1	4	1	0	1	4	2	4	-2000
1	4	1	0	1	4	2	7	-2000
1	4	1	0	1	4	2	6	-2000
1	4	1	0	1	4	2	9	-2000
1	4	1	0	1	4	2	8	-2000
1	4	1	0	1	4	2	11	-2000
1	4	1	0	1	4	2	10	-2000
1	4	1	0	1	4	2	13	-2000
1	4	1	0	1	3	1	0	1000
1	4	1	0	1	4	2	12	-2000
1	4	1	0	1	4	2	15	-2000
1	4	1	0	1	4	2	14	-2000
1	4	1	0	2	4	1	3	1000
1	4	1	0	1	4	2	17	-2000
1	4	1	0	2	4	1	2	1000
1	4	1	0	1	4	2	16	-2000
1	4	1	0	2	4	1	1	1000
1	4	1	0	1	4	2	19	-2000
1	4	1	0	2	4	1	0	1000
1	4	1	0	1	4	2	18	-2000
1	4	1	0	2	4	1	7	1000
1	4	1	0	2	4	1	6	1000
1	4	1	0	2	4	1	5	1000
1	4	1	0	2	4	1	4	1000
1	4	1	0	2	4	1	11	1000
1	4	1	0	2	4	1	10	1000
1	4	1	0	2	4	1	9	1000
1	4	1	0	2	4	1	8	1000
1	4	1	0	2	4	1	15	1000
1	4	1	0	2	4	1	14	1000
1	4	1	0	2	4	1	13	1000
1	4	1	0	2	4	1	12	1000
