i	j	k	t	i2	j2	k2	t2	coeff
1	4	1	1	3	4	1	16	1000
1	4	1	1	3	4	1	17	1000
1	4	1	1	3	4	1	18	1000
1	4	1	1	3	4	1	19	1000
1	4	1	1	1	4	1	1	-992
1	4	1	1	1	4	1	0	1000
1	4	1	1	1	4	1	3	1000
1	4	1	1	1	4	1	2	1000
1	4	1	1	1	4	1	5	1000
1	4	1	1	1	4	1	4	1000
1	4	1	1	1	4	1	7	1000
1	4	1	1	1	4	1	6	1000
1	4	1	1	1	4	1	9	1000
1	4	1	1	1	4	1	8	1000
1	4	1	1	1	4	1	11	1000
1	4	1	1	1	4	1	10	1000
1	4	1	1	1	4	1	13	1000
1	4	1	1	1	4	1	12	1000
1	4	1	1	1	4	1	15	1000
1	4	1	1	1	4	1	14	1000
1	4	1	1	1	4	1	17	1000
1	4	1	1	1	4	1	16	1000
1	4	1	1	1	4	1	19	1000
1	4	1	1	1	4	1	18	1000
1	4	1	1	2	4	1	3	1000
1	4	1	1	2	4	1	2	1000
1	4	1	1	2	4	1	1	1000
1	4	1	1	2	4	1	0	1000
1	4	1	1	2	4	1	7	1000
1	4	1	1	2	4	1	6	1000
1	4	1	1	2	4	1	5	1000
1	4	1	1	2	4	1	4	1000
1	4	1	1	2	4	1	11	1000
1	4	1	1	2	4	1	10	1000
1	4	1	1	2	4	1	9	1000
1	4	1	1	2	4	1	8	1000
1	4	1	1	2	4	1	15	1000
1	4	1	1	2	4	1	14	1000
1	4	1	1	2	4	1	13	1000
1	4	1	1	2	4	1	12	1000
1	4	1	1	2	4	1	19	1000
1	4	1	1	2	4	1	18	1000
1	4	1	1	2	4	1	17	1000
1	4	1	1	2	4	1	16	1000
1	4	1	1	3	4	1	4	1000
1	4	1	1	3	4	1	5	1000
1	4	1	1	3	4	1	6	1000
1	4	1	1	3	4	1	7	1000
1	4	1	1	3	4	1	0	1000
1	4	1	1	3	4	1	1	1000
1	4	1	1	3	4	1	2	1000
1	4	1	1	3	4	1	3	1000
1	4	1	1	3	4	1	12	1000
1	4	1	1	3	4	1	13	1000
1	4	1	1	3	4	1	14	1000
1	4	1	1	3	4	1	15	1000
1	4	1	1	3	4	1	8	1000
1	4	1	1	3	4	1	9	1000
1	4	1	1	3	4	1	10	1000
1	4	1	1	3	4	1	11	1000
1	4	1	0	3	4	1	16	1000
1	4	1	0	3	4	1	17	1000
1	4	1	0	3	4	1	18	1000
1	4	1	0	3	4	1	19	1000
1	4	1	0	1	4	1	1	1000
1	4	1	0	1	4	1	0	-1991
1	4	1	0	1	4	1	3	1000
1	4	1	0	1	4	1	2	1000
1	4	1	0	1	4	1	5	1000
1	4	1	0	1	4	1	4	1000
1	4	1	0	1	4	1	7	1000
1	4	1	0	1	4	1	6	1000
1	4	1	0	1	4	1	9	1000
1	4	1	0	1	4	1	8	1000
1	4	1	0	1	4	1	11	1000
1	4	1	0	1	4	1	10	1000
1	4	1	0	1	4	1	13	1000
1	4	1	0	1	4	1	12	1000
1	4	1	0	1	4	1	15	1000
1	4	1	0	1	4	1	14	1000
1	4	1	0	1	4	1	17	1000
1	4	1	0	1	4	1	16	1000
1	4	1	0	1	4	1	19	1000
1	4	1	0	1	4	1	18	1000
1	4	1	0	1	3	1	0	1000
1	4	1	0	2	4	1	3	1000
1	4	1	0	2	4	1	2	1000
1	4	1	0	2	4	1	1	1000
1	4	1	0	2	4	1	0	1000
1	4	1	0	2	4	1	7	1000
1	4	1	0	2	4	1	6	1000
1	4	1	0	2	4	1	5	1000
1	4	1	0	2	4	1	4	1000
1	4	1	0	2	4	1	11	1000
1	4	1	0	2	4	1	10	1000
1	4	1	0	2	4	1	9	1000
1	4	1	0	2	4	1	8	1000
1	4	1	0	2	4	1	15	1000
1	4	1	0	2	4	1	14	1000
1	4	1	0	2	4	1	13	1000
1	4	1	0	2	4	1	12	1000
1	4	1	0	2	4	1	19	1000
1	4	1	0	2	4	1	18	1000
1	4	1	0	2	4	1	17	1000
1	4	1	0	2	4	1	16	1000
1	4	1	0	1	2	1	0	1000
1	4	1	0	3	4	1	4	1000
1	4	1	0	3	4	1	5	1000
1	4	1	0	3	4	1	6	1000
1	4	1	0	3	4	1	7	1000
1	4	1	0	3	4	1	0	1000
1	4	1	0	3	4	1	1	1000
1	4	1	0	3	4	1	2	1000
1	4	1	0	3	4	1	3	1000
1	4	1	0	3	4	1	12	1000
1	4	1	0	3	4	1	13	1000
1	4	1	0	3	4	1	14	1000
1	4	1	0	3	4	1	15	1000
1	4	1	0	3	4	1	8	1000
1	4	1	0	3	4	1	9	1000
1	4	1	0	3	4	1	10	1000
1	4	1	0	3	4	1	11	1000
1	4	1	3	3	4	1	16	1000
1	4	1	3	3	4	1	17	1000
1	4	1	3	3	4	1	18	1000
1	4	1	3	3	4	1	19	1000
1	4	1	3	1	4	1	1	1000
1	4	1	3	1	4	1	0	1000
1	4	1	3	1	4	1	3	-992
1	4	1	3	1	4	1	2	1000
1	4	1	3	1	4	1	5	1000
1	4	1	3	1	4	1	4	1000
1	4	1	3	1	4	1	7	1000
1	4	1	3	1	4	1	6	1000
1	4	1	3	1	4	1	9	1000
1	4	1	3	1	4	1	8	1000
1	4	1	3	1	4	1	11	1000
1	4	1	3	1	4	1	10	1000
1	4	1	3	1	4	1	13	1000
1	4	1	3	1	4	1	12	1000
1	4	1	3	1	4	1	15	1000
1	4	1	3	1	4	1	14	1000
1	4	1	3	1	4	1	17	1000
