size	K	T	instance	Obj value	CPLEX time (s)	Optimal path
3	2	30	0	43.0	0.0192952	1 2 5 8 9 
3	2	30	1	45.0	0.0327402	1 2 3 6 9 
3	2	30	2	44.0	0.0298569	1 2 5 6 9 
3	2	30	3	37.0	0.0737463	1 4 5 6 9 
3	2	30	4	51.0	0.0582936	1 4 7 8 9 
3	2	30	5	51.0	0.0487492	1 4 7 8 9 
3	2	30	6	45.0	0.0240244	1 2 5 6 9 
3	2	30	7	46.0	0.0350829	1 4 7 8 9 
3	2	30	8	33.0	0.0574729	1 2 3 6 9 
3	2	30	9	36.0	0.0550222	1 2 3 6 9 
3	2	60	0	67.0	0.0807322	1 2 3 6 9 
3	2	60	1	65.0	0.0394396	1 2 5 8 9 
3	2	60	2	82.0	0.0561449	1 4 5 8 9 
3	2	60	3	87.0	0.1097077	1 4 7 8 9 
3	2	60	4	94.0	0.1112837	1 4 5 6 9 
3	2	60	5	83.0	0.0745068	1 4 5 6 9 
3	2	60	6	97.0	0.2116162	1 4 7 8 9 
3	2	60	7	70.0	0.0428864	1 4 5 8 9 
3	2	60	8	86.0	0.0416709	1 2 5 8 9 
3	2	60	9	86.0	0.0260169	1 4 5 6 9 
3	2	90	0	127.0	0.0378855	1 2 5 6 9 
3	2	90	1	116.0	0.0296981	1 4 7 8 9 
3	2	90	2	116.0	0.0308195	1 4 7 8 9 
3	2	90	3	80.0	0.0432756	1 2 5 6 9 
3	2	90	4	111.0	0.0356385	1 2 5 6 9 
3	2	90	5	79.0	0.0305214	1 2 5 8 9 
3	2	90	6	139.0	0.0344563	1 2 5 8 9 
3	2	90	7	125.0	0.0341942	1 4 7 8 9 
3	2	90	8	107.0	0.0291537	1 4 5 8 9 
3	2	90	9	130.0	0.0350802	1 2 5 8 9 
3	4	30	0	91.0	0.0644847	1 4 5 8 9 
3	4	30	1	88.0	0.0690821	1 2 3 6 9 
3	4	30	2	86.0	0.0646353	1 4 7 8 9 
3	4	30	3	71.0	0.0644444	1 2 5 8 9 
3	4	30	4	96.0	0.0661431	1 2 5 8 9 
3	4	30	5	94.0	0.0693601	1 4 5 6 9 
3	4	30	6	67.0	0.0637612	1 2 5 6 9 
3	4	30	7	78.0	0.0598761	1 4 7 8 9 
3	4	30	8	92.0	0.0641798	1 2 3 6 9 
3	4	30	9	89.0	0.0638906	1 2 5 8 9 
3	4	60	0	160.0	0.1304622	1 4 5 6 9 
3	4	60	1	177.0	0.1542281	1 4 5 8 9 
3	4	60	2	175.0	0.1418319	1 2 5 6 9 
3	4	60	3	127.0	0.123279	1 2 5 8 9 
3	4	60	4	169.0	0.1381795	1 4 7 8 9 
3	4	60	5	167.0	0.1454665	1 2 5 8 9 
3	4	60	6	174.0	0.1167751	1 2 5 8 9 
3	4	60	7	143.0	0.0968035	1 2 5 6 9 
3	4	60	8	186.0	0.1091304	1 2 5 6 9 
3	4	60	9	176.0	0.1285516	1 2 5 6 9 
3	4	90	0	290.0	0.2193817	1 4 5 8 9 
3	4	90	1	266.0	0.2135448	1 4 5 8 9 
3	4	90	2	273.0	0.2211942	1 4 5 6 9 
3	4	90	3	250.0	0.2207948	1 4 5 8 9 
3	4	90	4	284.0	0.1973841	1 4 7 8 9 
3	4	90	5	235.0	0.201076	1 2 5 6 9 
3	4	90	6	270.0	0.2457231	1 4 5 8 9 
3	4	90	7	282.0	0.2470677	1 2 5 8 9 
3	4	90	8	231.0	0.2145579	1 2 5 8 9 
3	4	90	9	251.0	0.1897852	1 4 5 6 9 
3	6	30	0	134.0	0.0899968	1 4 5 6 9 
